Description,Name,GTEX-11DXY-0526-SM-5EGGQ,GTEX-11DXZ-0126-SM-5EGGY,GTEX-11EQ9-0526-SM-5A5JZ,GTEX-11GSP-0626-SM-5986T,GTEX-11NUK-1226-SM-5P9GM,GTEX-11OF3-0726-SM-5BC4Z,GTEX-11TT1-1726-SM-5EQLJ,GTEX-11TUW-1726-SM-5BC5C,GTEX-11WQC-0726-SM-5EQMR,GTEX-11ZTS-1426-SM-5EQMM,GTEX-11ZUS-2526-SM-59872,GTEX-11ZVC-0726-SM-5FQT9,GTEX-1212Z-0226-SM-59HLF,GTEX-12696-0826-SM-5EGGE,GTEX-1269C-0626-SM-5FQSS,GTEX-12KS4-1326-SM-5LUB3,GTEX-12WSD-1426-SM-5GCN9,GTEX-12WSG-0626-SM-5FQTQ,GTEX-12WSL-0226-SM-5CVMJ,GTEX-13113-1326-SM-5GCOI,GTEX-131XE-0326-SM-5LZVO,GTEX-131XH-0626-SM-5LZWH,GTEX-131YS-1626-SM-5HL6C,GTEX-132AR-0426-SM-5IFH8,GTEX-132NY-0926-SM-5P9G3,GTEX-1399R-1226-SM-5P9GF,GTEX-1399T-0826-SM-5IFES,GTEX-139TS-1426-SM-5IFJD,GTEX-139TU-0826-SM-5IJFG,GTEX-13FTW-1126-SM-5J2NV,GTEX-13N11-0926-SM-5IJG2,GTEX-13N2G-0926-SM-5IFGJ,GTEX-13NYB-1026-SM-5IFH3,GTEX-13O1R-2026-SM-5KM3N,GTEX-13O3O-1826-SM-5IFGW,GTEX-13OW6-2626-SM-5IFF2,GTEX-13PVQ-1526-SM-5IFEQ,GTEX-13PVR-0126-SM-5S2PY,GTEX-13QJC-0726-SM-5RQJK,GTEX-13SLX-1226-SM-5S2Q6,GTEX-13VXU-0926-SM-5IFFH,GTEX-144GL-1426-SM-79OMA,GTEX-144GM-1326-SM-5LU5E,GTEX-145MF-0826-SM-5QGQA,GTEX-145MO-2326-SM-5NQ9K,GTEX-146FH-1526-SM-5NQBU,GTEX-14753-1626-SM-5NQ9L,GTEX-147F4-1426-SM-5LUA8,GTEX-147GR-1326-SM-7IGLB,GTEX-147JS-1126-SM-5RQIW,GTEX-148VI-0626-SM-5TDDH,GTEX-1497J-0726-SM-5Q5D1,GTEX-14A5I-1726-SM-5QGQ5,GTEX-14AS3-0126-SM-5Q5F4,GTEX-14BIL-1326-SM-79OMR,GTEX-14C38-1526-SM-5RQJ7,GTEX-14DAQ-1726-SM-5S2R2,GTEX-14E1K-0326-SM-5S2PE,GTEX-14E7W-1526-SM-6871X,GTEX-14JG1-1626-SM-664NH,GTEX-14PHX-0526-SM-664NW,GTEX-14XAO-0226-SM-68728,GTEX-15DYW-1326-SM-6LPIV,GTEX-15ER7-1826-SM-6LLI7,GTEX-15RJ7-2026-SM-6LPJ4,GTEX-15RJE-1126-SM-6LPI5,GTEX-15SHU-1826-SM-7KUKS,GTEX-17F96-1226-SM-79OK2,GTEX-17HHE-0126-SM-79398,GTEX-17HII-1026-SM-7IGLY,GTEX-17MF6-1126-SM-7DUFS,GTEX-18465-1626-SM-7LG6N,GTEX-18A66-2026-SM-7189C,GTEX-18A6Q-2026-SM-718AQ,GTEX-18A7A-1526-SM-72D69,GTEX-18D9B-1526-SM-7KFRK,GTEX-1A32A-0826-SM-72D5C,GTEX-1A8FM-1226-SM-7IGMD,GTEX-1A8G7-1126-SM-731ED,GTEX-1AMFI-0826-SM-731DV,GTEX-1AX8Z-1026-SM-7189R,GTEX-1AX9I-1626-SM-72D5D,GTEX-1B8L1-0726-SM-7P8RT,GTEX-1B8SG-1326-SM-79ONT,GTEX-1B932-1426-SM-793AN,GTEX-1B933-1226-SM-731DW,GTEX-1B996-1426-SM-7EPIA,GTEX-1BAJH-1526-SM-7RHGI,GTEX-1C6VQ-1626-SM-79OO1,GTEX-1CB4F-1726-SM-7MGXH,GTEX-1CB4J-0726-SM-7IGN8,GTEX-1E2YA-1226-SM-7MGY3,GTEX-1EH9U-1126-SM-7IGLU,GTEX-1EKGG-1226-SM-7IGNO,GTEX-1EWIQ-0726-SM-7MKFW,GTEX-1F75A-1626-SM-9JGGT,GTEX-1GF9V-1226-SM-7MKGY,GTEX-1GF9W-0826-SM-7MKHI,GTEX-1GF9X-0426-SM-7MKHN,GTEX-1GN1U-0926-SM-9WPPY,GTEX-1GN2E-0926-SM-9WPOH,GTEX-1GN73-1126-SM-9OSW5,GTEX-1GZ4I-1526-SM-9OSW9,GTEX-1H11D-0826-SM-9OSWB,GTEX-1HB9E-0626-SM-AHZ4K,GTEX-1HBPH-2626-SM-A96TV,GTEX-1HBPI-1026-SM-AHZ4N,GTEX-1HCVE-1526-SM-B2LWW,GTEX-1ICG6-1026-SM-B2LY6,GTEX-1ICLY-1526-SM-C1YS4,GTEX-1IKJJ-1526-SM-C1YSC,GTEX-1IKK5-0326-SM-C1YPY,GTEX-1J8EW-1626-SM-C1YQ8,GTEX-1JJEA-1526-SM-CNNPK,GTEX-1JMLX-1326-SM-CXZJO,GTEX-1K9T9-0726-SM-CXZJZ,GTEX-1KAFJ-0726-SM-CXZKF,GTEX-1KANB-2226-SM-DHXJW,GTEX-1KD5A-1226-SM-CXZK7,GTEX-1KWVE-0326-SM-EV7AF,GTEX-1LGRB-0626-SM-CNNQH,GTEX-1LH75-0926-SM-EAZ5C,GTEX-1MJIX-0726-SM-DPRYP,GTEX-1NV8Z-1626-SM-DPRYT,GTEX-1PBJJ-0626-SM-DPRYO,GTEX-1PIIG-1326-SM-EXOIR,GTEX-1QCLZ-1226-SM-EAZ49,GTEX-1QP66-0226-SM-DPRXS,GTEX-1QP6S-1326-SM-DPRZ8,GTEX-1QPFJ-1126-SM-E9U5V,GTEX-1R9JW-0826-SM-DPRZJ,GTEX-1RQEC-1126-SM-EAZ5E,GTEX-O5YT-0826-SM-3TW8N,GTEX-OIZF-0826-SM-3MJGO,GTEX-OOBJ-0826-SM-3NB2K,GTEX-P44G-1126-SM-3NM9D,GTEX-P78B-1326-SM-3P611,GTEX-PX3G-0826-SM-48TZS,GTEX-Q2AG-1126-SM-48U1P,GTEX-Q734-0326-SM-48U15,GTEX-QDVN-0826-SM-48TZ2,GTEX-QEG4-1826-SM-CKZN9,GTEX-QEL4-1226-SM-447A4,GTEX-QESD-2026-SM-447BI,GTEX-QV44-0326-SM-C1YQX,GTEX-R53T-0326-SM-48FEC,GTEX-REY6-1226-SM-48FDR,GTEX-RM2N-1926-SM-48FCU,GTEX-RN64-1826-SM-48FDV,GTEX-RNOR-1426-SM-48FDJ,GTEX-RTLS-1326-SM-46MUN,GTEX-RU72-1426-SM-46MUF,GTEX-RWSA-1426-SM-47JXA,GTEX-S32W-1926-SM-4AD63,GTEX-S33H-1626-SM-4AD68,GTEX-S4Z8-0526-SM-4AD4T,GTEX-SJXC-1226-SM-4DM78,GTEX-T6MN-1226-SM-3NMA5,GTEX-TKQ2-1726-SM-4DXUP,GTEX-U3ZN-0226-SM-3DB8D,GTEX-U8XE-1526-SM-4E3HT,GTEX-UPK5-1426-SM-4JBHH,GTEX-UTHO-2426-SM-4JBHD,GTEX-VUSG-0126-SM-4KL1X,GTEX-WFON-1726-SM-4LVMQ,GTEX-WK11-1326-SM-4OOSI,GTEX-WQUQ-1926-SM-4OOSA,GTEX-WY7C-0726-SM-4ONCB,GTEX-WYVS-1926-SM-4PQZ2,GTEX-WZTO-0626-SM-4PQYY,GTEX-X3Y1-2726-SM-4PQZH,GTEX-X4EO-1126-SM-4QARQ,GTEX-X4EP-1026-SM-4QAS5,GTEX-X4XY-1626-SM-46MVN,GTEX-XBEC-1526-SM-4AT68,GTEX-XXEK-1126-SM-4BRUX,GTEX-Y5LM-0426-SM-4VBRO,GTEX-Y5V5-0926-SM-4VBPZ,GTEX-YB5E-0326-SM-5IFHU,GTEX-YEC4-0826-SM-5P9FV,GTEX-YECK-1926-SM-4W21H,GTEX-YFC4-1526-SM-5IFJS,GTEX-Z9EW-0426-SM-5CVM9,GTEX-ZAB5-0426-SM-5CVMI,GTEX-ZEX8-0826-SM-4WKHK,GTEX-ZF29-2026-SM-DNZYW,GTEX-ZF2S-3026-SM-4WWCH,GTEX-ZPU1-0826-SM-57WG2,GTEX-ZTPG-1426-SM-51MT3,GTEX-ZVP2-0626-SM-51MSO,GTEX-ZVT3-1626-SM-5GU66,GTEX-ZYT6-0626-SM-5E45V,GTEX-ZZPU-0426-SM-5GZYH
RORC,ENSG00000143365.17,62.9,42.82,25.56,29.08,68.13,36.26,9.185,6.75,52.4,63.37,85.84,37.04,30.81,39.7,21.57,22.41,39.64,3.385,16.9,34.81,10.05,35.53,84.1,18.12,54.3,34.28,28.88,28.58,37.12,12.93,12.71,40.52,39.4,10.03,22.2,69.19,19.79,18.36,23.32,32,61.25,28.5,3.056,57.37,25.5,25.63,27.35,58.64,38.96,32.7,58.65,27.51,29.27,21.81,43.08,16.27,62.26,38.24,51.29,34.35,40.47,9.068,66.59,36.88,28.17,28.88,65.42,54.03,34.01,36.72,23.53,91.16,21.38,40.39,83.98,15.79,36.77,31.13,58.42,18.01,13.28,55.19,41.59,17.48,19.62,56.37,13.03,41.55,35.51,20.43,10.85,35.65,36.78,35.73,84.99,21.87,25.65,9.979,23.1,57.86,28.03,17.85,54.82,38.07,15.64,37.44,32.65,29.95,27.99,11.04,54.4,25.03,31.12,61.89,37.51,26.82,10.32,55.21,31.4,108.1,9.775,31.14,21.71,24.74,18.76,35.92,33.57,12.75,24.52,14.79,36.88,20.96,8.786,20.42,30.46,10.49,33.45,31.01,29.97,28.08,25.91,92.71,24.41,21.39,13.49,28.17,30.88,15.19,112.4,71.43,44.2,40.4,20.14,15.98,26.84,15.14,62.25,70.87,17.33,14.19,7.888,25.26,23.28,20.01,13.59,10.05,11.92,26.89,24.57,95.73,40.5,19.73,32.33,20.84,33.31,16.33,17.23,55.8,14.7,30.19,38.66,18.27,24.37,21.3,17.05,18.51,30.1,11.59,16.49,20.51,50.76,38.74,25.14
NME2,ENSG00000243678.11,95.29,79.37,183.2,54.21,75.96,109.6,424.1,167.3,97.83,74.52,79.05,84.15,110.7,190.1,123.8,184,101.8,209.3,201.5,151.8,233.5,118.2,83.5,431.3,244.1,94.97,113.4,185.5,134,236,372.2,165,153.4,295.2,108,124,127.5,228.6,89.67,184.1,79.95,50.63,200,156.2,124.3,317.5,89.52,130.7,97.54,111.3,305.6,197.4,160.2,121.3,105.4,193.1,112.7,153.3,118.5,105.7,118.9,250.5,117.9,64.02,190.6,82.88,95.02,131.2,122.7,116,112.5,86.72,172.3,103,122.1,283.5,108,83.28,88.2,152.4,256.4,55.48,116.1,240.8,155,110.6,193.9,117.6,209.1,202.4,369.1,131.8,169.4,91.02,89.52,44.47,73.31,184,153.8,79.96,113.6,136.3,136.3,164.1,141.2,70.98,78.84,107.3,159.8,159.4,101.4,171.2,87.22,93.3,133.2,278.5,165.1,107,195.9,80.63,261.1,267,109.1,124.9,101.2,67.74,257.8,133.4,151,240.9,127.7,60.91,686.4,116.7,129.8,107.2,181.8,97.4,74.72,171.4,306,123.1,318.8,191.8,83.31,196,302.9,159.8,67.9,68.85,118.3,151.2,101.3,453.2,181.6,205.6,90.44,88.58,161.7,124,206.1,131.8,219.7,190.4,185.8,57.31,176.8,259.8,120.9,75.38,155,109,140.4,201.4,66.6,235.3,336.9,130.8,330.3,197.3,104.2,168.8,160.7,106.7,118,194.8,94.69,156.5,309.6,177.4,133.9,79.67,174.7
MLXIP,ENSG00000175727.13,6.567,6.673,10.99,6.802,7.995,8.48,67.54,30.28,11.19,6.528,10.05,9.181,9.164,13.88,10.93,13.93,7.672,27.8,30.22,17.82,40.39,6.187,6.63,54.5,16.82,7.308,12.08,11.72,11.15,16.9,11.45,10.16,9.987,76.75,20.53,8.895,69.67,15.07,4.851,7.225,5.17,8.279,59.72,8.148,8.924,15.91,3.372,15.75,12.24,6.232,13.24,12.29,10.82,9.095,10.74,42.71,4.995,7.867,5.398,4.921,12.48,61.36,11.69,7.22,42.79,9.642,6.298,9.047,10.86,9.522,16.03,6.699,12.9,17.76,7.369,23.74,69.84,9.231,11.64,12.78,38.63,14.13,4.441,33.57,26.27,9.451,16.21,12.41,11.69,8.837,33.19,14.55,6.866,7.262,7.017,3.243,7.172,31.68,18.04,13.05,5.498,33.45,8.256,13.19,10.47,13.51,10.1,6.46,11.05,38.57,5.36,15.24,10.15,3.934,9.943,36.43,34.54,8.991,16.31,12.94,14.07,47.48,11.6,8.66,26.62,4.849,13.28,13.66,8.671,17.12,6.484,6.328,67.88,9.599,7.812,38.16,13.7,10.23,8.899,20.16,39.99,7.214,22.13,7.02,14.02,11.92,19.14,35.3,8.587,8.888,7.995,7.98,33.74,22.47,30.33,14.12,5.796,8.809,22.16,8.067,62.79,12.39,25.18,28.23,19.55,5.083,12.6,14.15,14.71,15.01,10.19,23.39,30.6,32.21,11.23,65.63,14.34,8.555,11.93,25.11,8.057,19.38,15.88,9.009,15,11.8,5.239,16.42,32.58,16.97,13.17,5.541,11.72
AC104809.2,ENSG00000223991.1,35.81,10.11,12.82,4.143,37.07,49.18,1.167,1.573,25.95,17.47,85.36,9.594,14.8,5.8,8.348,2.782,10.67,2.008,3.788,7.8,0.2017,16.41,21.04,0.3299,7.001,13.78,18.17,6.831,15.29,6.367,30.34,7.89,24.84,1.482,9.215,21.79,0.1722,1.537,4.881,27.9,73.39,26.79,0.09497,14.4,0.543,16.32,11.25,7.629,8.508,25.51,0.5927,3.293,5.947,12.38,9.158,0.0547,24.77,1.435,12.4,21.43,1.641,0.256,13.43,23.15,8.114,9.733,23.2,4.208,67.21,3.045,0.5035,9.027,1.626,50.57,34.38,0.9243,18.23,1.107,4.146,3.013,1.455,5.253,21.59,1.267,9.204,16.09,2.312,23.66,13.2,8.573,0.1302,11.76,5.038,6.623,40.52,16.18,19.38,0.8982,4.204,12.57,10.92,14.49,18.25,5.92,1.225,9.45,19.14,54.18,2.847,0.04323,17.04,0.7509,8.456,34.01,12.18,0.496,1.17,32.56,0.1545,50.24,4.474,0.1878,5.804,55.41,2.038,31.16,24.22,0.22,27.22,5.723,19.6,24.35,1.059,2.405,11.21,0.8663,6.383,20.9,37.23,1.356,2.068,68.11,0.07392,51.29,3.968,32.41,8.941,1.215,15.72,41.42,4.52,5.871,10.08,0.7121,6.294,21.87,16.1,49.05,0.9723,2.346,0.2998,14.74,3.42,1.101,1.825,21.2,12.45,10.35,3.962,36.11,10.14,4.496,3.923,0.4021,11.48,0.9604,2.162,12.3,8.725,4.543,37.64,0.1615,1.026,10.73,4.582,3.271,14.32,2.179,0.808,1.378,41.36,21.47,24.35
AC006994.2,ENSG00000279317.2,0.4621,0.2178,0.05552,0.3229,0.3955,0.1549,0,0,0.1309,0.2783,0.1757,0.2875,0.2458,0.03541,0.08214,0.0914,0.2484,0.01668,0.05041,0.07041,0,0.1865,0.642,0.02015,0.1717,0.135,0.2072,0.1463,0.2824,0.02698,0.0555,0.2134,0.376,0.01493,0.02741,0.5978,0.0325,0.01191,0.3081,0.2602,0.5094,0.1066,0,0.2108,0.07911,0.1275,0.2564,0.08102,0.2872,0.1903,0.08254,0.01943,0.06481,0.3969,0.2469,0.0142,0.3735,0.2308,0.4895,0.5117,0.1065,0,0.6458,0.464,0.02039,0.1836,0.3048,0.7137,0.4409,0.2329,0.3121,0.502,0.06108,0.1407,0.7238,0.07036,0.1516,0.1695,0.3062,0.1981,0,0.2707,0.4768,0.04326,0,0.5006,0.08323,0.3047,0.08341,0.1218,0.00751,0.2102,0.2675,0.5196,0.2302,0.1121,0.3034,0.03108,0.1716,0.1232,0.1611,0.01822,0.122,0.2818,0.07521,0.1922,0.1666,0.3497,0.2358,0.03366,0.4548,0.1452,0.4696,0.6222,0.1028,0,0.07923,0.6414,0.147,0.2866,0.04535,0.03249,0.1344,0.2402,0.0273,0.1553,0.04934,0.06851,0.2147,0.121,0.1826,0.1269,0.1236,0.2423,0.3148,0,0.08938,0.1594,0.1572,0.1456,0.04168,0.3113,0.1343,0.2463,0.151,0.1898,0.2047,0.05485,0.5694,0.4877,0.766,0.1955,0.02633,0.01719,0.127,0.06834,0.5659,0.2915,0.0348,0.1944,0.02829,0.0995,0.01962,0.04286,0.04832,0.1107,0.02823,0.1282,0.2199,0.4946,0.1323,0.05732,0.05611,0.04348,0.1596,0,0.133,0.2702,0.03306,0.03955,0.2803,0.1327,0.0467,0.2103,0.1285,0.07457,0.1576,0,0.07138,0.04666,0.4793,0.397,0.1872
HLF,ENSG00000108924.13,33.18,23.54,37.69,14.23,57.04,53.03,1.653,10.85,27.01,26.8,12.01,21.54,30.65,21.81,17.19,19.99,19.92,6.361,8.234,27.6,1.616,30.8,12.63,1.445,10.63,29.98,41.64,23.28,20.01,27.32,14.67,12.93,18.34,8.092,15.54,38.28,3.716,39.51,19.19,27.69,30.71,13.55,3.863,16.92,13.38,15.33,25.46,22.63,11.92,12.96,23.14,12.27,23.96,29.16,24.92,0.832,22.92,24.61,27.58,54.72,40.48,3.594,28.7,17.76,12.82,19.84,25.46,36.1,37.21,17.94,39.67,15.06,16.4,22.47,41.07,11.94,25.01,24.79,20.64,55.12,12.44,40.38,49.39,29.07,11.98,29.17,33.41,27.75,16.49,23.96,4.44,13.34,25.07,22.39,27.23,12.12,33.79,4.22,16.1,24.96,24.45,18.75,26.52,18.62,13.39,30.67,20.39,42.06,29.11,3.572,36.2,24.56,49.59,38.26,24.6,8.917,18.98,50.08,15.43,20.12,14.4,8.091,13.1,40.22,20.02,10.89,25.87,9.314,41.07,32.74,14.55,10.42,5.592,25.9,36.93,0.7156,14.61,21.78,15.35,7.101,7.241,16.78,9.29,34.9,16.11,17.86,11.24,34.29,39.52,23.74,30.87,16.24,28.91,7.698,14.29,13.79,41.37,22.53,18.82,28.36,1.563,16.38,12.73,5.248,18.16,19.53,14.16,17.99,20.22,13.61,27.45,33.98,24.16,3.481,19.78,3.544,19.79,27.6,21.72,35.34,39.07,20,34.54,13.29,22.33,52.59,23.34,34.32,4.092,24.73,38.47,27.49,25.1
YBX3,ENSG00000060138.12,1.807,11.49,11.05,10.88,4.037,6.208,176.9,48.94,12.12,6.88,2.664,7.125,7.177,15.44,12.4,20.11,8.399,44.08,35.67,21.64,119.6,5.827,7.32,27.09,13.68,10.16,17.4,9.126,14.58,13.27,17.8,17.48,6.787,54.62,111.5,8.756,106,13.09,10.45,8.855,5.142,4.413,94.82,3.724,7.977,28.88,16.89,36.92,23.58,12.91,18.63,20.22,7.459,7.893,12.15,66.61,10.04,2.406,8.743,4.02,8.401,25.89,7.566,9.744,31.35,7.273,9.853,10.21,9.005,19.14,12.33,5.873,6.834,9.916,7.902,35.63,108.4,22.22,15.21,12.64,19.92,14.22,5.894,55.48,22.67,8.872,12.4,6.392,30.17,13.06,19.84,20.01,13.35,4.368,4.998,5.324,5.666,60.06,15.86,28.83,6.269,33.09,10.83,9.568,41.15,20.35,8.256,6.802,7.972,71.78,5.952,55.73,6.302,9.485,17.44,23,72.53,6.078,8.816,8.326,11.78,36.11,8.663,9.554,18.66,2.771,13.79,24.17,7.927,9.597,9.067,6.218,72.68,9.937,10,184.4,13.52,10.31,7.565,15.18,43.59,6.865,21.25,12.61,10.42,4.69,15.44,43.14,6.145,9.438,14.99,15.17,46.29,26.82,28.61,7.835,4.209,10.86,20.01,25.48,63.3,21.35,53.02,20.58,10.83,5.364,5.933,6.147,16.85,9.299,6.251,18.28,48.46,43.15,17.26,103.2,24.94,7.723,22.14,11.27,5.709,12.39,10.52,9.417,6.278,5.818,4.865,25.71,125.9,12.2,8.125,6.408,10.24
DBP,ENSG00000105516.10,27.72,10.02,3.407,10.46,36.98,28.87,1.114,0.9966,6.087,10.63,3.991,4.369,18.17,3.095,4.249,3.265,6.397,0.9556,1.139,1.933,1.52,7.535,6.023,1.424,4.645,14.96,25.73,3.326,5.3,2.795,3.345,2.99,10.16,1.897,1.675,11.69,2.033,2.297,4.12,11,20.95,4.913,0.2354,5.617,1.662,2.664,5.357,8.435,7.635,9.038,5.776,1.633,2.337,13.24,7.429,0.6101,24.42,4.53,10.15,62.38,4.297,0.5998,17.31,12.03,3.155,6.951,8.467,10.34,3.778,7.329,5.283,4.155,0.8485,8.493,46.59,1.503,9.542,8.669,3.626,2.25,1.503,1.539,32.16,3.52,2.668,4.842,6.452,13.62,5.855,9.26,1.062,1.915,6.259,19.53,7.131,4.676,6.343,0.3859,2.123,6.575,4.643,9.612,3.994,3.704,6.609,13.24,14.72,17.91,2.282,0.4608,4.561,1.372,23.86,21.79,5.304,0.562,0.7819,56.73,2.22,3.524,2.426,1.44,3.957,39.77,4.732,3.75,1.379,0.5671,26.21,1.063,3.875,5.087,2.785,6.787,6.752,0.3276,3.585,20.28,8.192,2.921,1.93,3.909,1.246,61.39,5.226,2.742,3.194,0.9953,12.66,8.874,3.429,5.322,3.634,1.543,4.212,2.578,11.85,8.509,2.991,1.507,0.4323,4.536,3.953,2.579,1.588,12.28,1.815,2.236,8.252,3.054,5.735,2.033,30,0.9966,5.584,2.552,1.569,8.856,0.8335,1.086,25.62,2.948,1.356,6.583,4.297,3.265,11.84,3.734,2.062,2.659,27.63,12.33,2.366
CARF,ENSG00000138380.17,1.302,1.496,1.266,1.429,1.133,2.498,0.8914,0.2744,1.993,1.293,0.7077,1.461,1.567,1.172,1.212,0.9772,1.654,1.043,0.6016,1.481,0.9756,0.847,1.881,1.862,1.35,1.249,2.681,1.196,1.35,0.5854,2.053,1.117,1.611,0.5492,0.3361,2.326,0.3985,0.9635,0.6548,1.555,1.676,1.132,0.4956,1.603,0.4971,1.833,0.5218,1.58,1.462,1.278,0.9568,0.5621,1.196,2.435,1.453,0.4456,1.879,1.364,1.873,1.443,0.8291,0.6131,2.17,2.099,1.025,0.7358,1.689,2.226,2.422,1.101,1.641,0.9027,1.054,1.77,2.347,0.9725,0.3248,1.046,1.437,1.084,0.7562,1.675,1.711,1.014,1.347,2.748,0.5919,1.725,1.237,0.9662,0.2652,1.495,1.325,1.046,1.104,0.8862,1.202,0.5182,1.437,1.587,1.127,0.2993,0.8921,1.382,1.348,1.209,1.312,1.623,1.114,0.5502,2.219,1.064,2.524,1.523,1.449,1.647,1.059,2.438,1.409,1.731,1.079,1.147,0.5244,1.047,0.7397,0.5057,0.8425,0.6272,0.9429,0.5578,1.25,0.8384,1.136,1.973,2.203,0.1796,1.195,1.211,1.009,1.437,1.334,1.124,1.237,0.8181,1.558,1.844,0.8869,0.6501,2.017,1.921,1.456,0.931,0.4391,1.003,1.264,0.9469,1.227,1.501,1.097,1.312,0.2289,1.386,1.862,0.599,1.01,0.4735,0.886,1.152,1.582,1.403,0.9235,0.7349,1.034,0.934,1.207,0.4596,0.7007,2.59,0.6582,0.4776,1.422,1.096,0.5359,1.701,1.077,0.6161,1.468,1.007,1.037,0.6217,2.309,1.416,1.311
ZNF680,ENSG00000173041.11,6.782,2.844,2.493,4.581,7.171,12.85,2.579,0.9342,6.033,6.32,2.613,4.518,4.707,4.346,4.805,5.541,3.904,3.52,2.152,2.621,2.133,4.555,6.835,4.846,3.48,6.052,6.319,4.844,5.742,2.649,3.36,3.603,5.475,1.484,0.9587,14.62,1.263,2.484,4.958,4.956,8.651,3.953,1.176,6.83,1.622,4.813,2.218,10.04,4.127,5.17,5.629,3.327,4.408,10.77,7.597,1.864,6.181,3.202,5.16,7.079,3.686,2.703,6.711,5.535,2.336,2.357,5.168,7.208,5.648,4.546,3.736,4.202,3.239,5.794,8.494,3.491,2.004,3.698,5.654,6.219,2.897,4.888,10.21,2.563,3.957,7.869,3.518,5.883,3.165,3.369,1.49,2.388,5.499,5.774,5.879,4.138,2.979,1.793,4.716,2.964,4.619,1.576,4.111,4.896,4.861,4.436,9.731,6.806,5.125,2.235,5.609,3.395,9.636,6.267,3.321,3.686,3.128,7.622,3.875,4.573,4.052,2.849,1.77,5.404,2.083,1.949,4.624,1.302,4.459,3.975,2.601,3.538,4.195,8.145,3.799,0.6106,5.051,3.448,4.232,2.992,2.822,2.384,3.029,2.647,3.375,6.978,4.062,3.141,6.402,4.762,4.615,3.82,0.9533,3.453,6.162,2.775,6.556,11.02,3.495,5.379,0.7348,4.325,4.686,2.577,2.514,2.69,2.009,3.775,3.075,4.842,3.039,2.197,3.24,3.23,3.883,1.321,7.023,8.641,4.149,2.168,8.808,4.914,3.721,3.901,3.874,4.195,3.638,3.591,3.402,3.041,10.12,6.513,3.347
RP11-263G22.1,ENSG00000279218.1,5.031,0.7129,1.775,1.682,3.136,2.679,0,0,9.596,2.4,2.948,2.254,1.259,0.1845,0.2205,1.489,1.127,0,0.5253,0.9005,0,2.696,4.696,0,1.233,1.217,2.649,3.933,1.11,0.03834,0.6076,0.9437,1.948,0,0.1558,2.16,0.2617,0.09024,0.4411,5.258,6.429,2.854,0.03113,1.598,0.3654,0.1812,0.02067,1.574,2.868,1.489,0.1848,0.2454,0.6908,2.938,2.891,0,3.397,0.1789,2.966,2.908,0.2774,0.05721,4.292,7.847,0.03864,0.4234,3.027,0.7266,2.506,1.208,0.02751,8.158,0.3682,3.467,1.722,0.4969,0.1663,0.8652,1.111,0.1185,0.07214,2.43,2.108,0.08197,0.8006,9.263,1.117,7.628,0.3161,0.5872,0.3059,1.731,0.5195,2.828,6.732,0.824,2.972,0.2355,2.223,0.6693,1.035,0.3883,0.4308,1.017,0.1943,1.344,3.95,4.53,0.1042,0,2.79,0.8687,10.08,1.805,2.819,0.2439,0.3878,6.563,0.5823,2.851,0.275,0.03693,0.5788,10.38,1.125,2.15,0.4844,0.01442,1.609,0.5502,0.7304,2.234,0,1.363,0.3355,0.01757,1.4,0.6375,2.595,0.4906,0.2764,1.092,1.163,0.6788,0.7895,1.011,0.2586,0,6.845,7.454,0.5291,1.003,0.5488,0.2117,1.1,0.2752,5.255,3.513,0.1319,1.462,0.0268,0.8923,0.7434,0.02707,0.03662,1.47,0.3387,0.7122,0.7638,3.464,0.54,0.8688,1.868,0.03295,4.791,0.17,0.8767,1.524,0,0.1124,6.134,0.3837,0.05309,0.8679,0.9336,0.02174,0.8791,0.1987,0.1522,0.4273,5.609,3.94,0.4053
CTD-2555O16.4,ENSG00000272909.1,8.15,5.578,2.468,3.638,8.405,11.59,1.32,0.568,2.544,4.004,1.885,5.023,6.587,8.446,4.011,4.211,3.92,2.317,2.714,3.812,1.232,2.249,6.084,1.387,4.436,2.378,6.483,3.505,4.066,3.732,3.582,3.642,3.67,2.374,1.201,14.77,1.729,2.623,1.937,7.351,4.649,3.967,1.584,5.437,2.29,3.512,2.773,5.579,2.915,2.92,4.697,1.054,3.509,9.637,4.151,1.599,9.645,6.279,4.746,8.968,3.366,1.315,5.406,4.977,1.481,15.47,5.342,6.028,9.684,3.179,8.379,6.22,3.754,7.08,8.477,3.363,2.078,2.982,5.235,2.767,3.193,4.793,13.63,6.218,2.645,6.054,4.672,6.385,2.48,4.573,0.6581,4.798,2.227,5.552,3.944,2.043,3.756,1.498,3.643,6.068,6.068,1.95,3.527,2.184,2.893,6.008,4.247,6.353,3.09,1.419,5.423,1.894,13.37,5.866,3.536,3.53,3.819,9.496,3.128,4.381,2.373,4.165,3.427,6.107,2.888,0.8751,3.178,2.668,8.6,4.181,3.353,3.164,1.995,3.07,6.47,0.4178,3.282,3.613,2.568,2.938,1.278,3.549,2.666,4.457,5.776,3.475,1.944,2.884,7.08,5.826,4.415,2.407,1.384,2.109,3.294,3.166,4.828,4.263,3.006,3.593,1.116,4.219,4.249,2.718,5.203,1.321,3.416,3.487,4.833,3.229,2.166,4.059,4.155,1.872,4.165,0.5991,1.897,4.766,1.142,2.525,7.259,4.949,1.263,4.174,4.587,4.064,2.74,3.676,1.765,4.81,8.354,5.24,3.972
